structBattleAnimationDynamicSpriteData 0,Offset,Unknown
BA_DynSprite_Unknown00,aBADynSprite_MeleeCavs,$FFFF
BA_DynSprite_Soldier,aBADynSprite_Soldier,$FFFF
BA_DynSprite_ArcherEnemy,aBADynSprite_ArcherEnemy,$FFFF
BA_DynSprite_Dismounted_PegRider_DracoriderF,aBADynSprite_Dismounted_PegRider_DracoriderF,$FFFF
BA_DynSprite_Dismounted_DracoKntF_DracoMstF_PegKnt_FalconKntSword,aBADynSprite_Dismounted_DracoKntF_DracoMstF_PegKnt_FalconKntSword,$FFFF
BA_DynSprite_DismountedTroubadour_Sword,aBADynSprite_DismountedTroubadour_Sword,$FFFF
BA_DynSprite_DismountedTroubadour_Staff,aBADynSprite_DismountedTroubadour_Staff,$FFFF
BA_DynSprite_Dismounted_FalconKntStaff,aBADynSprite_Dismounted_FalconKntStaff,$FFFF
BA_DynSprite_Dismounted_MeleeCavs,aBADynSprite_Dismounted_MeleeCavs,$FFFF
BA_DynSprite_JuniorLord_Dismounted_PromotedMeleeCavs_MasterKnightM_Dracorider_Dragonmaster,aBADynSprite_JuniorLord_Dismounted_PromotedMeleeCavs_MasterKnightM_Dracorider_Dragonmaster,$FFFF
BA_DynSprite_Cavalier_LncKnt_AxeKnt,aBADynSprite_MeleeCavs,$FFFF
BA_DynSprite_SwordKnight,aBADynSprite_MeleeCavs,$FFFF
BA_DynSprite_Troubadour,aBADynSprite_MeleeCavs,$FFFF
BA_DynSprite_BowKnight,aBADynSprite_BowKnight,$FFFF
BA_DynSprite_DismountedBowKnightM,aBADynSprite_DismountedBowKnightM,$FFFF
BA_DynSprite_ArchKnight,aBADynSprite_ArchKnight,$FFFF
BA_DynSprite_DismountedArchKnightM,aBADynSprite_DismountedArchKnightM,$FFFF
BA_DynSprite_LordKnight_DukeKnight,aBADynSprite_LordKnight_DukeKnight,$FFFF
BA_DynSprite_Unknown12,aBADynSprite_LordKnight_DukeKnight,$FFFF
BA_DynSprite_Ranger_MasterKnight,aBADynSprite_Ranger_MasterKnight,$FFFF
BA_DynSprite_Unknown14,aBADynSprite_Ranger_MasterKnight,$FFFF
BA_DynSprite_MageKnight,aBADynSprite_MageKnight,$FFFF
BA_DynSprite_GreatKnight,aBADynSprite_GreatKnight,$FFFF
BA_DynSprite_Paladin,aBADynSprite_Paladin,$FFFF
BA_DynSprite_Pegasus_Falcon,aBADynSprite_Pegasus_Falcon,$FFFF
BA_DynSprite_Dracorider,aBADynSprite_Dracorider,$FFFF
BA_DynSprite_Dracoknight_Dragonmaster,aBADynSprite_Dracoknight_Dragonmaster,$FFFF
BA_DynSprite_ArcherM,aBADynSprite_ArcherM,$FFFF
BA_DynSprite_ArcherF_DismountedBowKnightF,aBADynSprite_ArcherF_DismountedBowKnightF,$FFFF
BA_DynSprite_SniperM,aBADynSprite_SniperM,$FFFF
BA_DynSprite_SniperF_DismountedArchKnightF,aBADynSprite_SniperF_DismountedArchKnightF,$FFFF
BA_DynSprite_MyrmidonM_DismountedSwordKnight,aBADynSprite_MyrmidonM_DismountedSwordKnight,$FFFF
BA_DynSprite_MyrmidonF,aBADynSprite_MyrmidonF,$FFFF
BA_DynSprite_FighterAxe,aBADynSprite_FighterAxe,$FFFF
BA_DynSprite_FighterThrownAxe,aBADynSprite_FighterThrownAxe,$FFFF
BA_DynSprite_HeroM_Axe,aBADynSprite_HeroM_Axe,$FFFF
BA_DynSprite_HeroM_Sword,aBADynSprite_HeroM_Sword,$FFFF
BA_DynSprite_HeroM_ThrownAxe,aBADynSprite_HeroM_ThrownAxe,$FFFF
BA_DynSprite_HeroF_Axe,aBADynSprite_HeroF_Axe,$FFFF
BA_DynSprite_HeroF_ThrownAxe,aBADynSprite_HeroF_ThrownAxe,$FFFF
BA_DynSprite_Unknown28,aBADynSprite_HeroM_Sword,$FFFF
BA_DynSprite_DismountedRanger_DismountedDracoknightM_HeroFE4M,aBADynSprite_DismountedRanger_DismountedDracoknightM_HeroFE4M,$FFFF
BA_DynSprite_HeroF_HeroFE4F,aBADynSprite_HeroF_HeroFE4F,$FFFF
BA_DynSprite_HeroFE4M_Axe,aBADynSprite_HeroFE4M_Axe,$FFFF
BA_DynSprite_HeroFE4M_ThrownAxe,aBADynSprite_HeroFE4M_ThrownAxe,$FFFF
BA_DynSprite_SwordmasterM,aBADynSprite_SwordmasterM,$FFFF
BA_DynSprite_SwordmasterF,aBADynSprite_SwordmasterF,$FFFF
BA_DynSprite_GeneralSwordAxes,aBADynSprite_GeneralSwordAxes,$FFFF
BA_DynSprite_GeneralLances,aBADynSprite_GeneralLances,$FFFF
BA_DynSprite_GeneralBow,aBADynSprite_GeneralBow,$FFFF
BA_DynSprite_Emperor_BaronSwordAxesStaffMagic,aBADynSprite_Emperor_BaronSwordAxesStaffMagic,$FFFF
BA_DynSprite_BaronLances,aBADynSprite_BaronLances,$FFFF
BA_DynSprite_BaronBow,aBADynSprite_BaronBow,$FFFF
BA_DynSprite_ArmorLances,aBADynSprite_ArmorLances,$FFFF
BA_DynSprite_ArmorSwordAxes,aBADynSprite_ArmorSwordAxes,$FFFF
BA_DynSprite_ArmorBow,aBADynSprite_ArmorBow,$FFFF
BA_DynSprite_Berserker,aBADynSprite_Berserker,$FFFF
BA_DynSprite_Brigand,aBADynSprite_Brigand,$FFFF
BA_DynSprite_BrigandAlt_WarrorAxes,aBADynSprite_BrigandAlt_WarrorAxes,$FFFF
BA_DynSprite_WarriorBow,aBADynSprite_WarriorBow,$FFFF
BA_DynSprite_Hunter,aBADynSprite_Hunter,$FFFF
BA_DynSprite_PirateAxes,aBADynSprite_PirateAxes,$FFFF
BA_DynSprite_DismountedMageKnightM_Sword,aBADynSprite_DismountedMageKnightM_Sword,$FFFF
BA_DynSprite_DismountedMageKnightM_Magic,aBADynSprite_DismountedMageKnightM_Magic,$FFFF
BA_DynSprite_DismountedMageKnightF_Sword,aBADynSprite_DismountedMageKnightF_Sword,$FFFF
BA_DynSprite_DismountedMageKnightF_MagicStaff,aBADynSprite_DismountedMageKnightF_MagicStaff,$FFFF
BA_DynSprite_Lord_Prince_DismountedLordKnight,aBADynSprite_Lord_Prince_DismountedLordKnight,$FFFF
BA_DynSprite_DismountedPaladinF_DismountedMasterKnightF_Sword,aBADynSprite_DismountedPaladinF_DismountedMasterKnightF_Sword,$FFFF
BA_DynSprite_DismountedPaladinF_DismountedMasterKnightF_Staff,aBADynSprite_DismountedPaladinF_DismountedMasterKnightF_Staff,$FFFF
BA_DynSprite_Dancer,aBADynSprite_Dancer,$FFFF
BA_DynSprite_Dancer_Dance,aBADynSprite_Dancer_Dance,$FFFF
BA_DynSprite_Cleric,aBADynSprite_Cleric,$FFFF
BA_DynSprite_Priest,aBADynSprite_Priest,$FFFF
BA_DynSprite_Priestess,aBADynSprite_Priestess,$FFFF
BA_DynSprite_Mage_LoptrianMageMagic,aBADynSprite_Mage_LoptrianMageMagic,$FFFF
BA_DynSprite_Mage_LoptrianMageStaff,aBADynSprite_Mage_LoptrianMageStaff,$FFFF
BA_DynSprite_ThunderMageM,aBADynSprite_ThunderMageM,$FFFF
BA_DynSprite_ThunderMageF,aBADynSprite_ThunderMageF,$FFFF
BA_DynSprite_WindMageM,aBADynSprite_WindMageM,$FFFF
BA_DynSprite_WindMageF,aBADynSprite_WindMageF,$FFFF
BA_DynSprite_High_Priest,aBADynSprite_High_Priest,$FFFF
BA_DynSprite_High_Priestess,aBADynSprite_High_Priestess,$FFFF
BA_DynSprite_Bishop,aBADynSprite_Bishop,$FFFF
BA_DynSprite_SageM,aBADynSprite_SageM,$FFFF
BA_DynSprite_SageF,aBADynSprite_SageF,$FFFF
BA_DynSprite_Bard,aBADynSprite_Bard,$FFFF
BA_DynSprite_Sorcerer,aBADynSprite_Sorcerer,$FFFF
BA_DynSprite_DarkBishop,aBADynSprite_DarkBishop,$FFFF
BA_DynSprite_DarkBishop_Repeat,aBADynSprite_DarkBishop,$FFFF
BA_DynSprite_ThiefM,aBADynSprite_ThiefM,$FFFF
BA_DynSprite_ThiefF,aBADynSprite_ThiefF,$FFFF
BA_DynSprite_RogueM,aBADynSprite_RogueM,$FFFF
BA_DynSprite_RogueF,aBADynSprite_RogueF,$FFFF
BA_DynSprite_Ballistician_KillerBallistician_VeninBallistician,aBADynSprite_Ballistician_KillerBallistician_VeninBallistician,$FFFF
BA_DynSprite_IronBallistician,aBADynSprite_IronBallistician,$FFFF
