structBattleAnimationScriptData 0,ScriptOffset,SubsheetOffset
BA_AnimScript_Soldier_Lance,aBAScript_Soldier_Lance,aBASubsheet_Soldier_Lance_ThrownLance
BA_AnimScript_Soldier_ThrownLance,aBAScript_Soldier_ThrownLance,aBASubsheet_Soldier_Lance_ThrownLance
BA_AnimScript_Unknown02,aBAScript_Unknown02,aBASubsheet_Unknown02
BA_AnimScript_Unknown03,aBAScript_Unknown03,aBASubsheet_Unknown03
BA_AnimScript_Unknown04,aBAScript_BaseCavalry_Sword_Axe,aBASubsheet_BaseCavalry_Sword_Axe_ThrowingAxe_Staff
BA_AnimScript_Fighter_Hero_HeroFe4M_ThrownAxe,aBAScript_Fighter_Hero_HeroFe4M_ThrownAxe,aBASubsheet_Fighter_Hero_HeroFe4M_ThrownAxe
BA_AnimScript_Fighter_Hero_HeroFe4M_Axe,aBAScript_Fighter_Hero_HeroFe4M_Axe,aBASubsheet_Fighter_Hero_HeroFe4M_Axe
BA_AnimScript_Myrmidon_HeroM_DismountedSwordKnight,aBAScript_Myrmidon_HeroM_DismountedSwordKnight,aBASubsheet_Myrmidon_HeroM_DismountedSwordKnight
BA_AnimScript_Swordmaster_HeroF_HeroFE4F_DismountedRanger_DismountedDracoknight,aBAScript_Swordmaster_HeroF_HeroFE4F_DismountedRanger_DismountedDracoknight,aBASubsheet_Swordmaster_HeroF_HeroFE4F_DismountedRanger_DismountedDracoknight
BA_AnimScript_Infantry_DismountedCav_Bow,aBAScript_Infantry_DismountedCav_Bow,aBASubsheet_Infantry_DismountedCav_Bow
BA_AnimScript_Caster_Staff,aBAScript_Caster_Staff,aBASubsheet_Caster
BA_AnimScript_Caster_Magic,aBAScript_Caster_Magic,aBASubsheet_Caster
BA_AnimScript_Thief_Rogue_Dancer_Sword,aBAScript_Thief_Rogue_Dancer_Sword,aBASubsheet_Thief_Rogue_Dancer_Sword
BA_AnimScript_BaseCavalry_Sword_Axe,aBAScript_BaseCavalry_Sword_Axe,aBASubsheet_BaseCavalry_Sword_Axe_ThrowingAxe_Staff
