structBattleAnimationScriptTable 0,BA_AnimationScript_Index
BA_BaseCavalry_Sword_Axe_Script,BA_AnimScript_BaseCavalry_Sword_Axe
BA_BaseCavalry_Lance_Script,BA_AnimScript_BaseCavalry_Lance
BA_BaseCavalry_ThrownLance_Script,BA_AnimScript_BaseCavalry_ThrownLance
BA_BaseCavalry_ThrownAxe_Script,BA_AnimScript_BaseCavalry_ThrownAxe
BA_Cavalry_Bow_Script,BA_AnimScript_Cavalry_Bow
BA_BaseCavalry_Staff_Script,BA_AnimScript_BaseCavalry_Staff
BA_UnknownScript06,BA_AnimScript_Swordmaster_HeroF_HeroFE4F_DismountedRanger_DismountedDracoknight
BA_UnknownScript07,BA_AnimScript_Infantry_DismountedCav_Bow
BA_UnknownScript08,BA_AnimScript_Swordmaster_HeroF_HeroFE4F_DismountedRanger_DismountedDracoknight
BA_UnknownScript09,BA_AnimScript_Swordmaster_HeroF_HeroFE4F_DismountedRanger_DismountedDracoknight
BA_UnknownScript0A,BA_AnimScript_Swordmaster_HeroF_HeroFE4F_DismountedRanger_DismountedDracoknight
BA_UnknownScript0B,BA_AnimScript_Swordmaster_HeroF_HeroFE4F_DismountedRanger_DismountedDracoknight
BA_UnknownScript0C,BA_AnimScript_Swordmaster_HeroF_HeroFE4F_DismountedRanger_DismountedDracoknight
BA_UnknownScript0D,BA_AnimScript_Swordmaster_HeroF_HeroFE4F_DismountedRanger_DismountedDracoknight
BA_PromotedCavalry_Sword_Axe_Script,BA_AnimScript_PromotedCavalry_Sword_Axe
BA_PromotedCavalry_Lance_Script,BA_AnimScript_PromotedCavalry_Lance
BA_PromotedCavalry_ThrownLance_Script,BA_AnimScript_PromotedCavalry_ThrownLance
BA_PromotedCavalry_ThrownAxe_Script,BA_AnimScript_PromotedCavalry_ThrownAxe
BA_PromotedCavalry_Staff_Script,BA_AnimScript_PromotedCavalry_Staff
BA_PromotedCavalry_Magic_Script,BA_AnimScript_PromotedCavalry_Magic
BA_UnknownScript14,BA_AnimScript_Infantry_DismountedCav_Bow
BA_UnknownScript15,BA_AnimScript_Swordmaster_HeroF_HeroFE4F_DismountedRanger_DismountedDracoknight
BA_UnknownScript16,BA_AnimScript_Swordmaster_HeroF_HeroFE4F_DismountedRanger_DismountedDracoknight
BA_UnknownScript17,BA_AnimScript_Swordmaster_HeroF_HeroFE4F_DismountedRanger_DismountedDracoknight
BA_Pegasi_Sword_Script,BA_AnimScript_Pegasi_Sword
BA_Pegasi_Lance_Script,BA_AnimScript_Pegasi_Lance
BA_Pegasi_ThrownLance_Script,BA_AnimScript_Pegasi_ThrownLance
BA_Pegasi_Staff_Script,BA_AnimScript_Pegasi_Staff
BA_Draco_Sword_Script,BA_AnimScript_Draco_Sword
BA_Draco_Lance_Script,BA_AnimScript_Draco_Lance
BA_Draco_ThrownLance_Script,BA_AnimScript_Draco_ThrownLance
BA_UnknownScript1F,BA_AnimScript_Infantry_DismountedCav_Bow
BA_Myrmidon_HeroM_DismountedSwordKnight_Script,BA_AnimScript_Myrmidon_HeroM_DismountedSwordKnight
BA_Swordmaster_HeroF_HeroFE4F_DismountedRanger_DismountedDracoknight_Script,BA_AnimScript_Swordmaster_HeroF_HeroFE4F_DismountedRanger_DismountedDracoknight
BA_Infantry_DismountedCav_Bow_Script,BA_AnimScript_Infantry_DismountedCav_Bow
BA_UnknownScript23,BA_AnimScript_Swordmaster_HeroF_HeroFE4F_DismountedRanger_DismountedDracoknight
BA_Armors_Sword_Axe_Script,BA_AnimScript_Armors_Sword_Axe
BA_Armors_Lance_Script,BA_AnimScript_Armors_Lance
BA_Armors_ThrownLance_Script,BA_AnimScript_Armors_ThrownLance
BA_Armors_ThrownAxe_Script,BA_AnimScript_Armors_ThrownAxe
