structBattleAnimationStaticSpriteData 0,Size,Offset,Unknown
BA_StaSprite_Unknown00,$8080,aBAStaSprite_Generic_MeleeCav_Body,$FFFF
BA_StaSprite_BowKnightM_Body,$8080,aBAStaSprite_BowKnightM_Body,$FFFF
BA_StaSprite_BowKnightF_Body,$8080,aBAStaSprite_BowKnightF_Body,$FFFF
BA_StaSprite_Robert_BowKnightM_Body,$8080,aBAStaSprite_Robert_BowKnightM_Body,$FFFF
BA_StaSprite_ArchKnightM_Body,$8080,aBAStaSprite_ArchKnightM_Body,$FFFF
BA_StaSprite_ArchKnightF_Body,$8080,aBAStaSprite_ArchKnightF_Body,$FFFF
BA_StaSprite_Robert_ArchKnightM_Body,$8080,aBAStaSprite_Robert_ArchKnightM_Body,$FFFF
BA_StaSprite_Infantry_Melee_Slash,$8080,aBAStaSprite_Infantry_Melee_Slash,$FFFF
BA_StaSprite_Promoted_Infantry_Melee_Slash,$8080,aBAStaSprite_Promoted_Infantry_Melee_Slash,$FFFF
BA_StaSprite_Generic_MeleeCav_Body,$8080,aBAStaSprite_Generic_MeleeCav_Body,$FFFF
BA_StaSprite_Unknown0A,$8080,aBAStaSprite_BowKnightM_Alt2,$FFFF
BA_StaSprite_Generic_SwordCav_Body,$8080,aBAStaSprite_Generic_SwordCav_Body,$FFFF
BA_StaSprite_Generic_Ranger_Body,$8080,aBAStaSprite_Generic_Ranger_Body,$FFFF
BA_StaSprite_Generic_Troubadour_Body,$8080,aBAStaSprite_Generic_Troubadour_Body,$FFFF
BA_StaSprite_KnightLord_Generic_DukeKnight_Body,$8080,aBAStaSprite_KnightLord_Generic_DukeKnight_Body,$FFFF
BA_StaSprite_Player_Mounted_Body,$8080,aBAStaSprite_Player_Mounted_Body,$FFFF
BA_StaSprite_DismountedMageKnight_Slash,$8080,aBAStaSprite_DismountedMageKnight_Slash,$FFFF
BA_StaSprite_SageF_DismountedMageKnt_Shadow,$8080,aBAStaSprite_SageF_DismountedMageKnt_Shadow,$FFFF
BA_StaSprite_Generic_MageKnight_Body,$8080,aBAStaSprite_Generic_MageKnight_Body,$FFFF
BA_StaSprite_Generic_MageKnightF_Body,$8080,aBAStaSprite_Generic_MageKnightF_Body,$FFFF
BA_StaSprite_Ilios_MageKnight_Body,$8080,aBAStaSprite_Ilios_MageKnight_Body,$FFFF
BA_StaSprite_Generic_GreatKnight_Body,$8080,aBAStaSprite_Generic_GreatKnight_Body,$FFFF
BA_StaSprite_Generic_PaladinM_Body,$8080,aBAStaSprite_Generic_PaladinM_Body,$FFFF
BA_StaSprite_Generic_PaladinF_Body,$8080,aBAStaSprite_Generic_PaladinF_Body,$FFFF
BA_StaSprite_Unknown18,$8080,aBAStaSprite_BowKnightM_Alt1,$FFFF
BA_StaSprite_PegasusRider_Body,$8080,aBAStaSprite_PegasusRider_Body,$FFFF
BA_StaSprite_PegKnt_FalconKnt_DracoKntF_Body,$8080,aBAStaSprite_PegKnt_FalconKnt_DracoKntF_Body,$FFFF
BA_StaSprite_DracoRiderM_DragonMaster_Body,$8080,aBAStaSprite_DracoRiderM_DragonMaster_Body,$FFFF
BA_StaSprite_Dean_DracoKnight_Finn_DracoRider_Body,$8080,aBAStaSprite_Dean_DracoKnight_Finn_DracoRider_Body,$FFFF
BA_StaSprite_DracoKnightM_Body,$8080,aBAStaSprite_DracoKnightM_Body,$FFFF
BA_StaSprite_DracoRiderF_Body,$8080,aBAStaSprite_DracoRiderF_Body,$FFFF
BA_StaSprite_Infantry_Archer_Quiver,$8080,aBAStaSprite_Infantry_Archer_Quiver,$FFFF
BA_StaSprite_Promoted_Infantry_Archer_Quiver,$8080,aBAStaSprite_Promoted_Infantry_Archer_Quiver,$FFFF
BA_StaSprite_General_Emperor_Slashes,$8080,aBAStaSprite_General_Emperor_Slashes,$FFFF
BA_StaSprite_Baron_Slashes,$8080,aBAStaSprite_Baron_Slashes,$FFFF
BA_StaSprite_MeleeArmor_Slashes,$8080,aBAStaSprite_MeleeArmor_Slashes,$FFFF
BA_StaSprite_BowArmor_Quiver,$8080,aBAStaSprite_BowArmor_Quiver,$FFFF
BA_StaSprite_Berserker_Slash,$8080,aBAStaSprite_Berserker_Slash,$FFFF
BA_StaSprite_Brigand_Slash,$8080,aBAStaSprite_Brigand_Slash,$FFFF
BA_StaSprite_BrigandAlt_Warrior_Slash,$8080,aBAStaSprite_BrigandAlt_Warrior_Slash,$FFFF
BA_StaSprite_Warrior_Quiver,$8080,aBAStaSprite_Warrior_Quiver,$FFFF
BA_StaSprite_Hunter_Quiver,$8080,aBAStaSprite_Hunter_Quiver,$FFFF
BA_StaSprite_FighterThrown_HeroThrown_Pirate_Slash,$8080,aBAStaSprite_FighterThrown_HeroThrown_Pirate_Slash,$FFFF
BA_StaSprite_DismountedClasses_JuniorLord_Slash,$8080,aBAStaSprite_DismountedClasses_JuniorLord_Slash,$FFFF
BA_StaSprite_Lord_Prince_Dismounted_KntLord_PalF_MstKntF_Slash,$8080,aBAStaSprite_Lord_Prince_Dismounted_KntLord_PalF_MstKntF_Falcon_Slash,$FFFF
BA_StaSprite_Dismounted_KntLord_PalF_MstKntF_Falcon_Shadow,$8080,aBAStaSprite_Lord_Prince_Dismounted_KntLord_PalF_MstKntF_Falcon_Slash,$FFFF
BA_StaSprite_Cleric_Shadow,$8080,aBAStaSprite_Cleric_Shadow,$FFFF
BA_StaSprite_Priest_Priestess_Shadow,$8080,aBAStaSprite_Priest_Priestess_Shadow,$FFFF
BA_StaSprite_Dancer_Slash,$8080,aBAStaSprite_Dancer_Slash,$FFFF
BA_StaSprite_Dancer_Dance_Shadow,$8080,aBAStaSprite_Dancer_Dance_Shadow,$FFFF
BA_StaSprite_Mage_Shadow,$8080,aBAStaSprite_Mage_Shadow,$FFFF
BA_StaSprite_LoptrianMage_Magic_Shadow,$8080,aBAStaSprite_LoptrianMage_Magic_Shadow,$FFFF
BA_StaSprite_ThunderMage_Shadow,$8080,aBAStaSprite_ThunderMage_Shadow,$FFFF
BA_StaSprite_WindMage_Shadow,$8080,aBAStaSprite_WindMage_Shadow,$FFFF
BA_StaSprite_HighPriest_HighPriestess_Shadow,$8080,aBAStaSprite_HighPriest_HighPriestess_Shadow,$FFFF
BA_StaSprite_Sorcerer_Shadow,$8080,aBAStaSprite_Sorcerer_Shadow,$FFFF
BA_StaSprite_DarkBishop_Shadow,$8080,aBAStaSprite_DarkBishop_Shadow,$FFFF
BA_StaSprite_SageM_Shadow,$8080,aBAStaSprite_SageM_Shadow,$FFFF
BA_StaSprite_Bishop_Shadow,$8080,aBAStaSprite_Bishop_Shadow,$FFFF
BA_StaSprite_Bard_Shadow,$8080,aBAStaSprite_Bard_Shadow,$FFFF
BA_StaSprite_Thief_ThiefRogue_Slash,$8080,aBAStaSprite_Thief_ThiefRogue_Slash,$FFFF
BA_StaSprite_Rogue_Slash,$8080,aBAStaSprite_Rogue_Slash,$FFFF
BA_StaSprite_Ballistician_KillerBallistician_VeninBallistician_Body,$A060,aBAStaSprite_Ballistician_KillerBallistician_VeninBallistician_Body,$FFFF
BA_StaSprite_IronBallistician_Body,$A060,aBAStaSprite_IronBallistician_Body,$FFFF
