structBattleAnimationStaticSpriteTable 0,BA_StaticSprite_Index
BA_Generic_MeleeCav_Body,BA_StaSprite_Generic_MeleeCav_Body
BA_UnknownStatic01,BA_StaSprite_Generic_MeleeCav_Body
BA_BowKnightM_Body,BA_StaSprite_BowKnightM_Body
BA_UnknownStatic03,BA_StaSprite_Promoted_Infantry_Melee_Slash
BA_Generic_SwordCav_Body,BA_StaSprite_Generic_SwordCav_Body
BA_Generic_Troubadour_Body,BA_StaSprite_Generic_Troubadour_Body
BA_KnightLord_Body,BA_StaSprite_KnightLord_Generic_DukeKnight_Body
BA_Generic_DukeKnight_Body,BA_StaSprite_KnightLord_Generic_DukeKnight_Body
BA_Player_Mounted_Body,BA_StaSprite_Player_Mounted_Body
BA_MasterKnightM_Bow_Body,BA_StaSprite_Player_Mounted_Body
BA_MasterKnightF_Body,BA_StaSprite_Player_Mounted_Body
BA_MasterKnightF_Bow_Body,BA_StaSprite_Player_Mounted_Body
BA_Generic_PaladinM_Body,BA_StaSprite_Generic_PaladinM_Body
BA_Generic_PaladinF_Body,BA_StaSprite_Generic_PaladinF_Body
BA_ArchKnightM_Body,BA_StaSprite_ArchKnightM_Body
BA_Generic_Ranger_Body,BA_StaSprite_Generic_Ranger_Body
BA_Generic_MageKnight_Body,BA_StaSprite_Generic_MageKnight_Body
BA_Generic_GreatKnight_Body,BA_StaSprite_Generic_GreatKnight_Body
BA_PegasusRider_Body,BA_StaSprite_PegasusRider_Body
BA_PegKnt_FalconKnt_DracoKntF_Body,BA_StaSprite_PegKnt_FalconKnt_DracoKntF_Body
BA_DracoRiderM_Body,BA_StaSprite_DracoRiderM_DragonMaster_Body
BA_DracoKnightM_Body,BA_StaSprite_DracoKnightM_Body
BA_DracoRiderF_Body,BA_StaSprite_DracoRiderF_Body
BA_DragonMasterM_Body,BA_StaSprite_DracoRiderM_DragonMaster_Body
BA_DragonMasterF_Body,BA_StaSprite_DracoRiderM_DragonMaster_Body
BA_Infantry_Archer_Quiver,BA_StaSprite_Infantry_Archer_Quiver
BA_Infantry_Melee_Slash,BA_StaSprite_Infantry_Melee_Slash
BA_Promoted_Infantry_Melee_Slash,BA_StaSprite_Promoted_Infantry_Melee_Slash
BA_Promoted_Infantry_Archer_Quiver,BA_StaSprite_Promoted_Infantry_Archer_Quiver
BA_General_Slashes,BA_StaSprite_General_Emperor_Slashes
BA_Emperor_Slashes,BA_StaSprite_General_Emperor_Slashes
BA_Baron_Slashes,BA_StaSprite_Baron_Slashes
BA_MeleeArmor_Slashes,BA_StaSprite_MeleeArmor_Slashes
BA_BowArmor_Quiver,BA_StaSprite_BowArmor_Quiver
BA_Berserker_Slash,BA_StaSprite_Berserker_Slash
BA_Brigand_Slash,BA_StaSprite_Brigand_Slash
BA_BrigandAlt_Slash,BA_StaSprite_BrigandAlt_Warrior_Slash
BA_Warrior_Slash,BA_StaSprite_BrigandAlt_Warrior_Slash
BA_Warrior_Quiver,BA_StaSprite_Warrior_Quiver
BA_Hunter_Quiver,BA_StaSprite_Hunter_Quiver
BA_FighterThrown_HeroThrown_Pirate_Slash,BA_StaSprite_FighterThrown_HeroThrown_Pirate_Slash
BA_DismountedClasses_JuniorLord_Slash,BA_StaSprite_DismountedClasses_JuniorLord_Slash
BA_DismountedMageKnight_Slash,BA_StaSprite_DismountedMageKnight_Slash
BA_SageF_DismountedMageKnt_Shadow,BA_StaSprite_SageF_DismountedMageKnt_Shadow
BA_Lord_Prince_Dismounted_KntLord_PalF_MstKntF_Slash,BA_StaSprite_Lord_Prince_Dismounted_KntLord_PalF_MstKntF_Slash
BA_Dismounted_KntLord_PalF_MstKntF_Falcon_Shadow,BA_StaSprite_Dismounted_KntLord_PalF_MstKntF_Falcon_Shadow
BA_BaronGlitched_Shadow,BA_StaSprite_Cleric_Shadow
BA_Dancer_Slash,BA_StaSprite_Dancer_Slash
BA_Priest_Priestess_Shadow,BA_StaSprite_Priest_Priestess_Shadow
BA_Mage_Shadow,BA_StaSprite_Mage_Shadow
BA_LoptrianMage_Magic_Shadow,BA_StaSprite_LoptrianMage_Magic_Shadow
BA_LoptrianMageM_Staff_Shadow,BA_StaSprite_ThunderMage_Shadow
BA_ThunderMage_Shadow,BA_StaSprite_ThunderMage_Shadow
BA_WindMage_Shadow,BA_StaSprite_WindMage_Shadow
BA_HighPriest_HighPriestess_Shadow,BA_StaSprite_HighPriest_HighPriestess_Shadow
BA_Bishop_Shadow,BA_StaSprite_Bishop_Shadow
BA_SageM_Shadow,BA_StaSprite_SageM_Shadow
BA_Bard_Shadow,BA_StaSprite_Bard_Shadow
BA_Cleric_Shadow,BA_StaSprite_Cleric_Shadow
BA_Sorcerer_Shadow,BA_StaSprite_Sorcerer_Shadow
BA_DarkBishop_Shadow,BA_StaSprite_DarkBishop_Shadow
BA_Thief_ThiefRogue_Slash,BA_StaSprite_Thief_ThiefRogue_Slash
BA_Rogue_Slash,BA_StaSprite_Rogue_Slash
BA_UnknownStatic3F,BA_StaSprite_Promoted_Infantry_Melee_Slash
BA_UnknownStatic40,BA_StaSprite_Promoted_Infantry_Melee_Slash
BA_Ballistician_VeninBallistician_Body,BA_StaSprite_Ballistician_KillerBallistician_VeninBallistician_Body
BA_IronBallistician_Body,BA_StaSprite_IronBallistician_Body
BA_KillerBallistician_Body,BA_StaSprite_Ballistician_KillerBallistician_VeninBallistician_Body
BA_DarkPrince_Shadow,BA_StaSprite_Sorcerer_Shadow
BA_Dancer_Dance_Shadow,BA_StaSprite_Dancer_Dance_Shadow
BA_MasterKnightF_Ranged_Staff_Body,BA_StaSprite_Player_Mounted_Body
BA_UnknownStatic47,BA_StaSprite_Unknown18
BA_UnknownStatic48,BA_StaSprite_Unknown0A
BA_Robert_BowKnightM_Body,BA_StaSprite_Robert_BowKnightM_Body
BA_Robert_ArchKnightM_Body,BA_StaSprite_Robert_ArchKnightM_Body
BA_Generic_MageKnightF_Body,BA_StaSprite_Generic_MageKnightF_Body
BA_Ilios_MageKnight_Body,BA_StaSprite_Ilios_MageKnight_Body
BA_BowKnightF_Body,BA_StaSprite_BowKnightF_Body
BA_ArchKnightF_Body,BA_StaSprite_ArchKnightF_Body
BA_Dean_DracoKnight_Finn_DracoRider_Body,BA_StaSprite_Dean_DracoKnight_Finn_DracoRider_Body
