StructChapterEventPointers 0,OpeningEventDefinitions,TurnEventDefinitions,TalkEventDefinitions,LocationEventDefinitions,BeforeActionEventDefinitions,ShopEventDefinitions,BattleEventDefinitions,EndingEvent,AfterActionEventDefinitions,PrepGroups
Chapter01,eventChapter01Events._OpeningEventDefinitions,eventChapter01Events._TurnEventDefinitions,eventChapter01Events._TalkEventDefinitions,eventChapter01Events._LocationEventDefinitions,eventChapter01Events._BeforeActionEventDefinitions,eventChapter01Events._ShopEventDefinitions,eventChapter01Events._BattleEventDefinitions,eventChapter01Events._EndingEvent,eventChapter01Events._AfterActionEventDefinitions,eventChapter01Events._PrepGroups
Chapter02,eventChapter02Events._OpeningEventDefinitions,eventChapter02Events._TurnEventDefinitions,eventChapter02Events._TalkEventDefinitions,eventChapter02Events._LocationEventDefinitions,eventChapter02Events._BeforeActionEventDefinitions,eventChapter02Events._ShopEventDefinitions,eventChapter02Events._BattleEventDefinitions,eventChapter02Events._EndingEvent,eventChapter02Events._AfterActionEventDefinitions,DummyPrepGroups
Chapter02x,eventChapter02xEvents._OpeningEventDefinitions,eventChapter02xEvents._TurnEventDefinitions,eventChapter02xEvents._TalkEventDefinitions,eventChapter02xEvents._LocationEventDefinitions,eventChapter02xEvents._BeforeActionEventDefinitions,eventChapter02xEvents._ShopEventDefinitions,eventChapter02xEvents._BattleEventDefinitions,eventChapter02xEvents._EndingEvent,eventChapter02xEvents._AfterActionEventDefinitions,eventChapter02xEvents._PrepGroups
Chapter03,eventChapter03Events._OpeningEventDefinitions,eventChapter03Events._TurnEventDefinitions,eventChapter03Events._TalkEventDefinitions,eventChapter03Events._LocationEventDefinitions,eventChapter03Events._BeforeActionEventDefinitions,eventChapter03Events._ShopEventDefinitions,eventChapter03Events._BattleEventDefinitions,eventChapter03Events._EndingEvent,eventChapter03Events._AfterActionEventDefinitions,eventChapter03Events._PrepGroups
Chapter04,eventChapter04Events._OpeningEventDefinitions,eventChapter04Events._TurnEventDefinitions,eventChapter04Events._TalkEventDefinitions,eventChapter04Events._LocationEventDefinitions,eventChapter04Events._BeforeActionEventDefinitions,eventChapter04Events._ShopEventDefinitions,eventChapter04Events._BattleEventDefinitions,eventChapter04Events._EndingEvent,eventChapter04Events._AfterActionEventDefinitions,DummyPrepGroups
Chapter04x,eventChapter04xEvents._OpeningEventDefinitions,eventChapter04xEvents._TurnEventDefinitions,eventChapter04xEvents._TalkEventDefinitions,eventChapter04xEvents._LocationEventDefinitions,eventChapter04xEvents._BeforeActionEventDefinitions,eventChapter04xEvents._ShopEventDefinitions,eventChapter04xEvents._BattleEventDefinitions,eventChapter04xEvents._EndingEvent,eventChapter04xEvents._AfterActionEventDefinitions,DummyPrepGroups
Chapter05,eventChapter05Events._OpeningEventDefinitions,eventChapter05Events._TurnEventDefinitions,eventChapter05Events._TalkEventDefinitions,eventChapter05Events._LocationEventDefinitions,eventChapter05Events._BeforeActionEventDefinitions,eventChapter05Events._ShopEventDefinitions,eventChapter05Events._BattleEventDefinitions,eventChapter05Events._EndingEvent,eventChapter05Events._AfterActionEventDefinitions,DummyPrepGroups
Chapter06,eventChapter06Events._OpeningEventDefinitions,eventChapter06Events._TurnEventDefinitions,eventChapter06Events._TalkEventDefinitions,eventChapter06Events._LocationEventDefinitions,eventChapter06Events._BeforeActionEventDefinitions,eventChapter06Events._ShopEventDefinitions,eventChapter06Events._BattleEventDefinitions,eventChapter06Events._EndingEvent,eventChapter06Events._AfterActionEventDefinitions,DummyPrepGroups
Chapter07,eventChapter07Events._OpeningEventDefinitions,eventChapter07Events._TurnEventDefinitions,eventChapter07Events._TalkEventDefinitions,eventChapter07Events._LocationEventDefinitions,eventChapter07Events._BeforeActionEventDefinitions,eventChapter07Events._ShopEventDefinitions,eventChapter07Events._BattleEventDefinitions,eventChapter07Events._EndingEvent,eventChapter07Events._AfterActionEventDefinitions,DummyPrepGroups
Chapter08,eventChapter08Events._OpeningEventDefinitions,eventChapter08Events._TurnEventDefinitions,eventChapter08Events._TalkEventDefinitions,eventChapter08Events._LocationEventDefinitions,eventChapter08Events._BeforeActionEventDefinitions,eventChapter08Events._ShopEventDefinitions,eventChapter08Events._BattleEventDefinitions,eventChapter08Events._EndingEvent,eventChapter08Events._AfterActionEventDefinitions,eventChapter08Events._PrepGroups
Chapter08x,eventChapter08xEvents._OpeningEventDefinitions,eventChapter08xEvents._TurnEventDefinitions,eventChapter08xEvents._TalkEventDefinitions,eventChapter08xEvents._LocationEventDefinitions,eventChapter08xEvents._BeforeActionEventDefinitions,eventChapter08xEvents._ShopEventDefinitions,eventChapter08xEvents._BattleEventDefinitions,eventChapter08xEvents._EndingEvent,eventChapter08xEvents._AfterActionEventDefinitions,eventChapter08xEvents._PrepGroups
Chapter09,eventChapter09Events._OpeningEventDefinitions,eventChapter09Events._TurnEventDefinitions,eventChapter09Events._TalkEventDefinitions,eventChapter09Events._LocationEventDefinitions,eventChapter09Events._BeforeActionEventDefinitions,eventChapter09Events._ShopEventDefinitions,eventChapter09Events._BattleEventDefinitions,eventChapter09Events._EndingEvent,eventChapter09Events._AfterActionEventDefinitions,eventChapter09Events._PrepGroups
Chapter10,eventChapter10Events._OpeningEventDefinitions,eventChapter10Events._TurnEventDefinitions,eventChapter10Events._TalkEventDefinitions,eventChapter10Events._LocationEventDefinitions,eventChapter10Events._BeforeActionEventDefinitions,eventChapter10Events._ShopEventDefinitions,eventChapter10Events._BattleEventDefinitions,eventChapter10Events._EndingEvent,eventChapter10Events._AfterActionEventDefinitions,eventChapter10Events._PrepGroups
