structMapSpriteIndexEntry 0,Index
MageFMapSprite,MA_MageFMapSpriteIndex
MageMapSprite,MA_MageMapSpriteIndex
PriestessMapSprite,MA_PriestessMapSpriteIndex
JuniorLordMapSprite,MA_JuniorLordMapSpriteIndex
MyrmidonMapSprite,MA_MyrmidonMapSpriteIndex
ArmoredLanceMapSprite,MA_ArmoredLanceMapSpriteIndex
BerserkerMapSprite,MA_BerserkerMapSpriteIndex
ArcherMapSprite,MA_ArcherMapSpriteIndex
SoldierMapSprite,MA_SoldierMapSpriteIndex
ArcherFMapSprite,MA_ArcherFMapSpriteIndex
ArmoredAxeMapSprite,MA_ArmoredAxeMapSpriteIndex
ArcherEnemyMapSprite,MA_ArcherEnemyMapSpriteIndex
DancerMapSprite,MA_DancerMapSpriteIndex
MyrmidonFMapSprite,MA_MyrmidonFMapSpriteIndex
PrincessMapSprite,MA_PrincessMapSpriteIndex
ThiefMapSprite,MA_ThiefMapSpriteIndex
GeneralMapSprite,MA_GeneralMapSpriteIndex
ClericMapSprite,MA_ClericMapSpriteIndex
BrigandMapSprite,MA_BrigandMapSpriteIndex
WindMageMapSprite,MA_WindMageMapSpriteIndex
WindMageFMapSprite,MA_WindMageFMapSpriteIndex
PriestMapSprite,MA_PriestMapSpriteIndex
HunterMapSprite,MA_HunterMapSpriteIndex
SwordmasterMapSprite,MA_SwordmasterMapSpriteIndex
HeroMapSprite,MA_HeroMapSpriteIndex
WarriorMapSprite,MA_WarriorMapSpriteIndex
BrigandAlternateMapSprite,MA_BrigandAlternateMapSpriteIndex
PirateMapSprite,MA_PirateMapSpriteIndex
HeroFMapSprite,MA_HeroFMapSpriteIndex
BaronMapSprite,MA_BaronMapSpriteIndex
HighPriestessMapSprite,MA_HighPriestessMapSpriteIndex
SwordmasterFMapSprite,MA_SwordmasterFMapSpriteIndex
SniperFMapSprite,MA_SniperFMapSpriteIndex
SniperMapSprite,MA_SniperMapSpriteIndex
EmperorMapSprite,MA_EmperorMapSpriteIndex
SwordSoldierMapSprite,MA_AlternateSoldierMapSpriteIndex
AxeSoldierMapSprite,MA_AlternateSoldierMapSpriteIndex
LanceSoldierMapSprite,MA_AlternateSoldierMapSpriteIndex
ArmoredSwordMapSprite,MA_ArmoredSwordMapSpriteIndex
ArmoredBowMapSprite,MA_ArmoredBowMapSpriteIndex
LoptrianMageFMapSprite,MA_LoptrianMageFMapSpriteIndex
LoptrianMageMapSprite,MA_LoptrianMageMapSpriteIndex
ThunderMageFMapSprite,MA_ThunderMageFMapSpriteIndex
ThunderMageMapSprite,MA_ThunderMageMapSpriteIndex
HighPriestMapSprite,MA_HighPriestMapSpriteIndex
MageKnightFDismountedMapSprite,MA_MageKnightFDismountedMapSpriteIndex
DarkBishopMapSprite,MA_DarkBishopMapSpriteIndex
SorcererMapSprite,MA_SorcererMapSpriteIndex
LordMapSprite,MA_LordMapSpriteIndex
MageKnightDismountedMapSprite,MA_MageKnightDismountedMapSpriteIndex
ChildFMapSprite,MA_ChildFMapSpriteIndex
ChildMapSprite,MA_ChildMapSpriteIndex
QueenMapSprite,MA_QueenMapSpriteIndex
BishopMapSprite,MA_BishopMapSpriteIndex
CivilianMapSprite,MA_CivilianMapSpriteIndex
CivilianFMapSprite,MA_CivilianFMapSpriteIndex
RogueFMapSprite,MA_RogueFMapSpriteIndex
BardMapSprite,MA_BardMapSpriteIndex
ThiefFMapSprite,MA_ThiefFMapSpriteIndex
RogueMapSprite,MA_RogueMapSpriteIndex
SageMapSprite,MA_SageMapSpriteIndex
SageFMapSprite,MA_SageFMapSpriteIndex
DarkPrinceMapSprite,MA_DarkPrinceMapSpriteIndex
KnightDismountedMapSprite,MA_KnightDismountedMapSpriteIndex
KnightFDismountedMapSprite,MA_KnightFDismountedMapSpriteIndex
PromotedKnightDismountedMapSprite,MA_PromotedKnightDismountedMapSpriteIndex
PromotedKnightFDismountedMapSprite,MA_PromotedKnightFDismountedMapSpriteIndex
BowKnightDismountedMapSprite,MA_BowKnightDismountedMapSpriteIndex
ArchKnightDismountedMapSprite,MA_ArchKnightDismountedMapSpriteIndex
FighterMapSprite,MA_FighterMapSpriteIndex
HeroFE4MapSprite,MA_HeroFE4MapSpriteIndex
BowKnightFDismountedMapSprite,MA_BowKnightFDismountedMapSpriteIndex
ArchKnightFDismountedMapSprite,MA_ArchKnightFDismountedMapSpriteIndex
SwordKnightDismountedMapSprite,MA_SwordKnightDismountedMapSpriteIndex
RangerDismountedMapSprite,MA_RangerDismountedMapSpriteIndex
